%time,Date,Flavour ,TSS,Acid,%Juice,Bite,Weight,DMC_fruit
43880,19/02/2020 00:00,80,9,14.5,67,219,9,NA
43894,04/03/2020 00:00,74,8.3,13.6,60,277,10.1,NA
43908,18/03/2020 00:00,71,8.3,12.1,53,285,11.4,8.73
43922,01/04/2020 00:00,76,8.9,13.3,58,334,10,9.07
43936,15/04/2020 00:00,73,8.9,12.5,51,290,11,8.71
43950,29/04/2020 00:00,77,8.9,13.3,62,265,10.3,9.25
43964,13/05/2020 00:00,79,9.13,12.1,64,188,11.13,8.88
43980,29/05/2020 00:00,72,8.1,10.7,57,175,16.8,8.96
