Time,Date,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43816,17/12/2019 00:00,1.1328,0.522666667,0,0.005503333,0,0
43817,18/12/2019 00:00,1.143,0.837,0,0.0114525,0,0
43818,19/12/2019 00:00,0.1194,0.864,0.54,0.01983,0,0
43819,20/12/2019 00:00,0.5727,1.326583333,0.550833333,0.031044167,0.8,0
43820,21/12/2019 00:00,2.4702,1.438833333,0.291,0.015726667,0.5,0
43821,22/12/2019 00:00,1.8318,1.438833333,0.21825,0.022485833,0.5,0
43822,23/12/2019 00:00,3.087,1.487333333,0.12125,0.020441667,0.2,1.8
43823,24/12/2019 00:00,3.3036,1.487333333,0.116416667,0.0381175,1.1,0.4
43824,25/12/2019 00:00,2.4594,1.495416667,0.113166667,0.0272375,4.3,4.4
43825,26/12/2019 00:00,3.4986,1.495416667,0.113166667,0.020265,1.4,1.6
43826,27/12/2019 00:00,3.0144,1.495416667,0.113166667,0.0240325,1.4,2.3
43827,28/12/2019 00:00,3.3084,2.01025,0.113166667,0.029253333,0.7,0.8
43828,29/12/2019 00:00,3.1068,2.202833333,0.166833333,0.034603333,0.7,0
43829,30/12/2019 00:00,2.6589,1.835166667,0.166833333,0.04672,0.7,1
43830,31/12/2019 00:00,2.3616,2.142583333,0.0945,0.038374167,2.2,0.8
43831,01/01/2020 00:00,3.2034,2.2165,0.166833333,0.039654167,2.2,1.1
43832,02/01/2020 00:00,3.558,2.2165,0.166833333,0.040348333,2.2,1.1
43833,03/01/2020 00:00,2.8782,2.192666667,0.166833333,0.053045833,1.7,0.5
43834,04/01/2020 00:00,2.0817,2.192666667,0.166833333,0.061370833,1.7,0.4
43835,05/01/2020 00:00,1.9524,2.204583333,0.166833333,0.051531667,1.7,0.5
43836,06/01/2020 00:00,1.9539,2.20425,0.166833333,0.064473333,1.7,0.2
43837,07/01/2020 00:00,2.1531,2.09125,0.166833333,0.0557025,2.9,1.2
43838,08/01/2020 00:00,1.5012,2.126833333,0.1725,0.0643225,2.2,0.2
43839,09/01/2020 00:00,1.6545,2.139,0.23,0.074516667,2.9,0
43840,10/01/2020 00:00,1.6623,2.136583333,0.23,0.053849167,2.9,1.7
43841,11/01/2020 00:00,1.7796,2.139,0.23,0.0635,2.2,1
43842,12/01/2020 00:00,2.2449,2.085416667,0.25025,0.070901667,2.2,0.9
43843,13/01/2020 00:00,1.5333,1.994583333,0.238333333,0.054850833,2.2,0.8
43844,14/01/2020 00:00,1.2873,2.082666667,0.25025,0.0780725,1.9,0.8
43845,15/01/2020 00:00,1.0539,2.082666667,0.25025,0.072799167,1.9,0.6
